Easy does it.|慢慢来。
I'm glad I kept my fingers crossed.|我很高兴一直都这么幸运。
It doesn't make any difference.|没关系。
Hope so.|希望如此。
Don't go to pieces.|不要崩溃。
Don't push me.|别逼我。
I think you’ve put your finger on it.|你说到点子上了。
You're laying it on thick.|你过奖了。
No way!|不可能！
Who knows!|天晓得！
What's the fuss?|吵什么？
It's urgent.|有急事。
I'm not going.|我不去了。
Get over yourself.|别自以为是。
He is an operator.|他是个老油条。
They are so tasty.|它们很好吃。
Not so bad.|不错。
I'm fed up.|我受够了。
It really turns me on.|这令我兴奋。
Get down to business.|言归正传。
It doesn't work.|不管用。
Don't get on my nerves.|不要搅得我心烦。
They're selling like hot cakes.|这些都很畅销。
I'm really in a bind.|我左右为难。
He is now in the soup.|他现在糟糕了。
Don't let me down.|别让我失望。
None of my business.|不关我事。
Have a go of it.|玩得很高兴。
Come on!|来吧！
How come?|怎么搞的？
Does it serve your purposes?|这符合你的目的吗？
It's not a big deal!|没什么了不起！
Don't flatter me.|别恭维我。
I don't care.|我不在乎。
You're welcome.|你太客气了。
I'll stand on my own two feet.|一人做事一人当。
God works.|上帝的安排。
Don't think ill of me.|别生我气。
Still up?|还没睡吗？
I'll see to it.|我会留意的。
I'll try to smooth things over.|我会妥善处理。
Do me a favour.|帮我个忙。
Let's cut to the chase.|我们开门见山吧。
an eye for an eye.|以牙还牙。
You're a coward.|你是个懦夫。
You're so corny.|你太老套了。
You're cheesy.|你太俗气了。
You're on the clock.|你很准时。
Catch you later.|待会儿见。
You look very pretty.|你看起来很漂亮。
Don't lie to me.|别骗我。
You will pay for this.|你会为此付出代价的。
Let's forgive and forget.|让我们原谅和忘记。
I went too far.|我走得太远了。
I'm sorry about it.|我很抱歉。
I like being around you.|我喜欢和你在一起。
What do you got?|你有什么？
What have you got?|你有什么？
Lay it on me.|放在我身上。
We shall see.|我们拭目以待。
We come in peace.|我们和平共处。
No war please.|请不要打仗。
Slow down.|慢点。
Think about it.|想想看。
What makes you happy?|什么让你开心？
What you really want to do?|你真正想做什么？
Live in your own way.|以你自己的方式生活。
That's the best choice.|这是最好的选择。
Lay it on me.|说来听听。
What does he look like?|他长什么样？
My phone is out of battery.|我的手机没电了。
I need to charge my phone.|我需要给我的手机充电。
This is a surprise.|这是一个惊喜。
What's the fuss?|有什么大惊小怪的？
I'll be right there.|我马上就到。
I'll give you a hint.|我给你一个提示。
