Absolutely not.|绝对不是。
After you.|你先请。
All of it.|所有这一切。
Allow me.|让我来。
Anything is possible.|一切皆有可能。
Are you alive, or not?|你还活着吗？
Are you awake?|你醒了吗？
Are you coming with me?|你跟我一起去吗？
Are you insane?|你疯了吗？
Are you making progress?|有进展吗？
Are you out of your mind?|你疯了吗？
Are you serious?|你是认真的吗？
Are you sure?|你能肯定吗？
Are you sure you wanna do this?|你确定要这样做吗？
Are you wearing perfume?|你喷香水吗？
Are you with me?|你和我在一起吗？
Aren't you forgetting something?|你是不是忘记了什么事？
As soon as possible.|尽快。
As you wish!|如你所愿！
Be my guest.|做我的客人/请便/别客气。
Be quiet.|安静点。
Bring it on.|放马过来。
Call me tomorrow.|明天打电话给我。
Can I get your number?|能告诉我你的电话号码吗？
Can I have it back?|能把它还我吗？
Can I look at a menu?|我可以看看菜单吗？
Can I see you for a second?|能借一步说话吗？
Can I tell you a secret?|我可以告诉你一个秘密吗？
Can you hold on?|你能坚持住吗？
Can you keep a secret?|你能保守秘密吗？
Can you speak slowly?|请您说得慢些好吗？
Can you try?|你能试试吗？
Catch you later.|待会儿见。
Certainly not.|当然不是。
Cheer up.|振作起来。
Come on!|来吧！
Come with me.|跟我来。
Congratulations.|恭喜恭喜。
Could you help me?|能帮帮我吗？
Couldn't be better.|再好不过了。
Count me on.|算上我。
Cut it out.|够了/打住。
Did you have a good time?|你玩得开心吗？
Did you hear that?|你听到了吗？
Did you sleep well?|你睡得好吗？
Do I have to?|非做不可吗？
Do I make myself clear?|我说的够清楚吗？
Do it right!|把它做对。
Do me a favor.|帮我个忙。
Do you mean it?|你是当真的吗？
Do you see it?|你看到了吗？
Do you understand?|你明白了吗？
Do you wanna go out for some fresh air?|你想出去呼吸新鲜空气吗？
Do you wanna go out with me?|你想和我一起出去吗？
Do you want it?|你要吗？
Do you want it or not?|你想还是不想？
Do you want something?|你想要些什么？
Do you think I'm a fool?|你认为我是个傻瓜吗？
Do your best.|尽力而为。
Don't be like that.|别这样。
Don't be so hard on yourself.|不要对自己那么苛刻。别太为难自己。
Don't cry.|不要哭泣。
Don't do it.|不要做。
Don't exaggerate.|不要夸张。
Don't fight.|不要打架。
Don't flatter me.|别恭维我。
Don't forget us.|别忘了我们。
Don't get me wrong.|别误会。
Don't get on my nerves.|不要搅得我心烦。
Don't give me that look.|别那样看着我。
Don't go to pieces.|不要崩溃。
Don't let me down.|别让我失望。
Don't lie to me.|别骗我。
Don't make me lie to you.|不要逼我对你撒谎。
Don't move.|不要移动。
Don't overdo it.|不要做得太过分。
Don't push me.|别逼我。
Don't rush. Take your time.|别着急/慢慢来。
Don't smoke.|不要吸烟。
Don't stress out.|别紧张。
Don't take it personally.|别往心里去。
Don't talk.|不要说话。
Don't tell me that.|不要告诉我。
Don't think ill of me.|别生我气。
Don't worry.|别担心。
Don't worry about me.|别担心我。
Don't you think so?|你不这么认为吗？
Easy does it.|慢慢来。
Enough is enough.|够了。适可而止。
Fantastic!|棒极了！
Feel better?|好点了吗？
Forget it.|算了吧。
Get down to business.|言归正传。
Get out of here.|滚/离开这里。
Get over yourself.|别自以为是。
Get used to it.|习惯它吧/习惯就好了
Give it a try!|试一试！
Give me a hand.|帮我一下。
Give me a hug.|给我一个拥抱。
Give me a favor.|帮我个忙。
Give me a kiss.|给我一个吻。
Give me five.|击个掌吧。
Give me a break.|让我休息一下/得了吧/饶了我吧。
Go big or go home.|要么做大要么回家/一不做二不休。
Go easy on yourself.|放松点/慢慢来。
Go for it!|去争取吧/试一试/加油！
Go right ahead.|一直往前走。
Go to hell.|去死吧。
God works.|上帝的安排。
Good job.|做的好。
Good to have you back.|欢迎归来。
Good to see you again.|很高兴再次见到你。
Good work till now.|干得好。
Got it.|明白，好的。
Got it?|明白吗？
Great minds think alike.|英雄所见略同。
Great job.|干得好。
Have a good trip.|祝旅途愉快。
Have a nice day.|祝你一天过得愉快。
Have a nice weekend.|周末愉快。
Have you finished?|你做完了吗？
Have you had enough?|你受够了吗/你吃饱了吗？
He doesn't have time.|他没空。
He is an operator.|他是个老油条。
He must be lying.|他一定是在撒谎。
Here we go.|我们开始吧。
Hold on.|等等。
Hope so.|希望如此。
How about yourself?|你自己呢？
How are you doing?|你好吗？
How come?|怎么搞的？
How could you not tell me?|你怎么能不告诉我(瞒着我)？
How dare you?!|你怎么敢？/你好大胆子！
How did it go?|进行的怎么样了？
How did you know?|你怎么知道的？
How do you two know each other?|你们俩是怎么认识的？
How do you know that?|你怎么知道？
How long are you staying?|你要呆多久？
How many times do I have to tell you?|我要告诉你多少次？
I am crazy about her.|我对她着迷了。
I am not interested.|我没有兴趣。
I am wasting my time.|我在浪费时间。
I appreciate your help.|我感谢你的帮助。
I can do it.|我能做。
I can handle myself.|我自己能处理（能行）。
I can't afford it.|我付不起。
I can't bear it.|我受不了了。
I can't believe it.|我简直不能相信。
I can't imagine.|我无法想象。
I can't take it anymore.|我再也受不了。
I can't wait.|我不能再等了。
I completely understand.|我完全理解。
I couldn't agree more.|我完全同意。
I didn't want you to see this.|我不想让你看到我这样。
I didn't want you to come.|我不想让你来。
I don't care.|我不在乎。
I don't have time.|我没时间了。
I don't know anybody.|我一个人都不认识。
I don't know if that's true.|我不知道这是否是真的。
I don't know if that's a good idea.|我不知道这是不是个好主意。
I don't know what else to do.|我也不知道还能做什么(还能怎么办)。
I don't know what I came over me.|我不知道我是怎么了。
I don't like it.|我不喜欢。
I don't like the look in your eye.|我不喜欢你现在的眼神。
I don't think so.|我认为不是。
I don't think that's the case.|我不这么认为。
I don't wanna think about it.|我不想去想了。
I doubt it.|我怀疑。
I feel angry.|我感到生气
I feel awkward.|我感觉很尴尬。
I feel greatt.|有时我感觉很棒
I feel happy.|我感到开心。
I feel much better.|我感觉好多了。
I feel sad.|有时我感到伤心。
I feel scare.|我感到害怕。
I feel worried.|我感到担心。
I found it.|我找到了。
I gotta go.|我得走了。
l have nothing special to do.|我没有什么特别的事可做。
I hope so.|我希望如此。
I kid you not.|我不骗你。
I knew it.|我早知道了。
I know what you're going through.|我了解你的感受/我知道你现在正在经历着什么。
I like being around you.|我喜欢和你在一起。
I lost you.|我失去了你。
I love beef steak.|我喜欢牛排。
I need to charge my phone.|我需要给我的手机充电。
I need to start a bank account.|我需要开个银行账户。
I need you to tell me what happened.|我要知道发生了什么。
I needed money.|我需要钱。
I noticed that.|我注意到了。
I quit.|我不干了。
I really appreciate it.|我真的很感激。
I see.|我明白了。
I should have known.|我应该知道的。
I speak english well.|我英语说得很好。
I suggest you do the same.|我建议你也这样做。
I think I gonna go.|我想我要走了。
I think so.|我认为是这样的。
I think that's the case.|我也这么觉得。
I think you've put your finger on it.|你说到点子上了。
I understand completely.|我完全理解。
I wanted to apologize.|我想道歉。
I want my money back.|我想要回我的钱。
I want to speak with him.|我想跟他说话。
I was just thinking about you.|我只是在想你。
I was wrong about you.|我看错你了/我错怪你了。
I went too far.|我走得太远了。
I wish you well.|我祝你一切都好。
I won.|我赢了。
I would like a cup of coffee, please.|请给我一杯咖啡。
I'll be honest with you.|我跟你说实话吧。不瞒各位。
I'll be right there.|我马上就到。
I'll figure it out.|我会弄明白的。
I'll give you a hint.|我给你一个提示。
I'll make it up to you.|我会补偿你的。。
I'll miss you.|我会想念你的。
I'll see to it.|我会留意的。
I'll stand on my own two feet.|一人做事一人当。
I'll take you home.|我会带(送)|你回家。
I'll think about it.|我要考虑看看。
I'll try.|我试试看。
I'm back.|我回来了。
I'm bored.|我很无聊。
I'm broke.|我破产了。
I'm busy.|我很忙。
I'm doing great.|我过得很好。
I'm exhausted.|我精疲力尽了。
I'm glad to have met you.|很高兴遇到你。
I'm going to count to three.|现在我数三下。
I'm going to do my best.|我要做最好的自己。
I'm going to have the steak.|我要去吃牛排。
I'm gonna be rich!|我要发财啦！
I'm gonna go to bed.|我要去睡觉了。
I'm gonna take a nap.|我要小睡一会儿。
I'm gonna take a shower.|我要去洗澡了。
I had a wonderful time here.|我在这里度过了难忘的时光。
I'm happier than I've ever been.|我从没这么开心过。
I'm having fun.|我玩得很开心。
I'm here for you.|有我在呢。
I'm hungry.|我饿死了。
I'm in.|我加入。
I'm in the middle of something.|我正在做某事/我正在忙。
I'm leaving.|我要走了。
I'm looking forward to it.|我很期待它。
I'm not allowed to do that.|我不可以那样做。
I'm not going.|我不去了。
I'm not mad at you.|我没有生你的气。
I'm off.|我下班了。
I'm on the phone.|我在打电话。
I'm on vacation.|我正在度假。
I'm on your side.|我站在你这边。
I'm out.|我退出。
I'm pregnant.|我怀孕了。
I'm ready.|我准备好了。
I'm really in a bind.|我左右为难。
I'm right-handed.|我是右撇子。
I'm sleepy.|我很困。
I'm so embarrassed.|我太尴尬了/我太丢人了。
I'm sorry about it.|我很抱歉。
I'm sorry.|对不起。
I'm sorry I yelled at you.|对不起，我吼你了。
I'm up.|我起来了。
I'm used to it.|我习惯了。
I'm very proud of you.|我为你感到自豪。
I'm working on it.|我正在努力。
I've been waiting for you.|我一直在等你。
I've got it.|我明白了。
I've had it.|我受够了。
I've heard so much about you.|我听过不少你的事情/久仰大名。
Is it far?|很远吗？
Is that what I think it is?|是我想的那样吗？
Is that what it is?|是这样吗/是这么回事吗？
Is that why you're here?|这就是你来这里的原因吗？
It doesn't make any difference.|没关系。
It doesn't make sense.|这没有意义/这说不通啊。
It doesn't matter.|没关系。
It doesn't work.|不管用。
It is incredible!|太不可思议了！
It is what it is.|事情就是这样。
It must be fake.|它一定是假的。
