Absolutely not.|绝对不是。
Are you coming with me?|你跟我一起去吗？
Are you insane?|你疯了吗？
Are you sure?|你能肯定吗？
As soon as possible.|尽快。
Believe me.|相信我。
Buy it.|买下来。
Call me tomorrow.|明天打电话给我。
Can you speak slowly?|请您说得慢些好吗？
Come with me.|跟我来。
Congratulations.|恭喜恭喜。
Did you hear that?|你听到了吗？
Do it right!|把它做对。
Do you mean it?|你是当真的吗？
Do you see him often?|你经常见到他吗？
Do you see it?|你看到了吗？
Do you understand?|你明白了吗？
Do you want it?|你要吗？
Do you want something?|你想要些什么？
Don’t do it.|不要做。
Don’t exaggerate.|不要夸张。
Don’t stress out.|别紧张。
Don’t tell me that.|不要告诉我。
Give me a hand.|帮我一下。
Good work till now.|干得好。
Go easy on yourself.|放松点。慢慢来。
Go right ahead.|一直往前走。
Great job.|干得好。
Have a good trip.|祝旅途愉快。
Have a nice day.|祝你一天过得愉快。
Have you finished?|你做完了吗？
He doesn’t have time.|他没空。
He is on his way.|他现在已经在路上了。
Hold on.|等等。
How are you doing?|你好吗？
How did you know?|你怎么知道的？
How long are you staying?|你要呆多久？
I am crazy about her.|我对她着迷了。
I am wasting my time.|我在浪费时间。
I can do it.|我能做。
I can’t believe it.|我简直不能相信。
I can’t wait.|我不能再等了。
I don’t have time.|我没时间了。
I don’t know anybody.|我一个人都不认识。
I don’t like it.|我不喜欢。
I don’t think so.|我认为不是。
I feel much better.|我感觉好多了。
I found it.|我找到了。
I hope so.|我希望如此。
I knew it.|我早知道了。
I kid you not.|我不骗你。
I noticed that.|我注意到了。
I see.|我明白了。
I speak english well.|我英语说得很好。
I think so.|我认为是这样的。
I want to speak with him.|我想跟他说话。
I won.|我赢了。
I would like a cup of coffee, please.|请给我一杯咖啡。
I’m hungry.|我饿死了。
I’m leaving.|我要走了。
I’m sorry.|对不起。
I’m used to it.|我习惯了。
I’m bored.|我很无聊。
I’m busy.|我很忙。
I’m having fun.|我玩得很开心。
I'm pregnant.|我怀孕了。
I’m ready.|我准备好了。
I'll give you a hint.|我给你一个提示。
I’ll miss you.|我会想念你的。
I’ll try.|我试试看。
I'll take you home.我会带(送)|你回家。
I’ve got it.|我明白了。
I’ve had it.|我受够了。
It’s incredible.|真是难以置信。
Is it far?|很远吗？
It doesn’t matter.|没关系。
It must be fake.|它一定是假的。
He must be lying.|他一定是在撒谎。
It smells good.|闻起来很香。
It’s about time.|是时候了。
It’s all right.|没关系。
It’s easy.|很容易。
It’s good.|很好。
It’s near here.|离这很近。
It’s nothing.|没什么。
It’s time to go.|该走了。
It’s different.|那是不同的。
It’s funny.|很滑稽。
It’s impossible.|那是不可能的。
It’s not bad.|还行。
It’s not difficult.|不难。
It’s not worth it.|不值得。
It’s obvious.|很明显。
It’s the same thing.|还是一样的。
It’s your turn.|轮到你了。
Let me see.|让我想想。
Let me know.|告诉我。
Let's get started.|我们开始吧。
Let's go out for a drink.|我们出去喝一杯吧。
Let's got it.|来吧。
Let's stay in touch.|让我们保持联系。
Me too.|我也一样。
Not yet.|还没有。
Relax!|放松。
See you tomorrow.|明天见。
She is my best friend.|她是我最好的朋友。
She is so smart.|她真聪明。
Show me.|指给我看。
Something's come up.|发生了一些事情。
Sounds good.|听起来不错。
Sounds awful.|听起来很糟糕。
So what?|那又怎样？
Take some time.|花点时间，需要时间。
Tell me.|告诉我。
Thank you very much.|多谢。
That happens.|这样的事情经常发生。
That’s enough.|够了。
That’s interesting.|很有趣。
That’s right.|对了。
That's so cool.|那太酷了。
That's so sweet.|那太贴心了。
That’s true.|这是真的。
There are too many people here.|这里人很多。
They like each other.|他们互相倾慕。
Think about it.|考虑一下。
This is horrible.|这太可怕了。
Too bad.|太糟糕啦。
Try this one.|试试这个。
Wait for me.|等等我。
We must do something.|我们必须做点儿什么。
What can I do?|我能做什么？
What did you say?|你说什么？
What do you think?|你认为怎样？
What is he talking about?|他在说些什么？
What terrible weather!|多坏的天气。
What would you say?|你会说什么？
What’s going on?|怎么啦？
What’s happening?|怎么啦？
What’s the problem?|怎么啦？
What’s the date today?|今天几号？
When are you coming back?|你什么时候回来？
Where are you going?|你去哪里？
Where did you grow up?|你在哪里长大的？
Where is he?|他在哪里？
Will you be my wife?|你愿意做我的妻子吗？
You are impatient.|你太性急了。
You got me.|你抓住我了。
You look tired.|你看上去很累。
You surprise me.|你让我大吃一惊。
You're clever.|你很聪明。
You’re crazy.|你疯了。
You're good.|你很好。
You're great.|你很棒。
You're nice.|你很好。
You're the best.|你是最棒的。
You’re welcome.|别客气。
You’re always right.|你总是对的。
You’re in a bad mood.|你的心情不好。
You’re lying.|你在撒谎。
You're on the clock.|计时开始了。
You’re wrong.|你错了。
